System ID,Book Title,Author,Category,Subject,Price,MRP,Stock,ISBN No,Description,Published Year,Binding,Pages,Weight,is_bestseller,is_trending,is_new_arrival,is_featured
z7YrLMOPjbxmVdIM9U3g,2017 Solved All India Ayush PG Entrance Exam,Syed Afzal Hussain,Exam Preparation,AIAPGET / PG / MD / MO / UPSC Entrance Exam Books,64,80,10,9788200000000,,,,,,,,,
WXyth5oMPokAEmAfNdTs,2018 Solved All India Ayush P.G Entrance Exam,Dr. Hina Rashid,Exam Preparation,AIAPGET / PG / MD / MO / UPSC Entrance Exam Books,64,80,10,9789390000000,,,,,,,,,
XCWeaFXigdkYgA5krtNx,2019 Solved All India Ayush P.G Entrance Exam,Dr. Hina Rashid,Exam Preparation,AIAPGET / PG / MD / MO / UPSC Entrance Exam Books,64,80,10,9789390000000,,,,,,,,,
5JBqLqbxWXtNuEsKsPF8,2020 Solved All India Ayush P.G Entrance Exam,Dr. Hina / Syed Afzal Hussain,Exam Preparation,AIAPGET / PG / MD / MO / UPSC Entrance Exam Books,80,100,10,9788200000000,,,,,,,,,
vUZ6hITNbWH9TJannEUv,2021 Solved All India Ayush PG Entrance Exam,Syed Afzal Hussain,Exam Preparation,AIAPGET / PG / MD / MO / UPSC Entrance Exam Books,80,100,10,9788200000000,,,,,,,,,
uPUOV045bQ4Y9mgBuoQN,2022 Solved All India Ayush PG Entrance Exam,Syed Afzal Hussain,Exam Preparation,AIAPGET / PG / MD / MO / UPSC Entrance Exam Books,80,100,10,9788200000000,,,,,,,,,
rNdxmOLv0DIfHVsgZi6u,2023 Solved All India Ayush PG Entrance Exam,Syed Afzal Hussain,Exam Preparation,AIAPGET / PG / MD / MO / UPSC Entrance Exam Books,80,100,10,TEMP-9790000000018,,,,,,,,,
gyxFD3eVRNV0UuhK695v,2024 Solved All India Ayush PG Entrance Exam,Syed Afzal Hussain,Exam Preparation,AIAPGET / PG / MD / MO / UPSC Entrance Exam Books,80,100,10,9789390000000,,,,,,,,,
0sS2HeawX9BWGI1SlemX,2025 Solved All India Ayush PG Entrance Exam,Syed Afzal Hussain,Exam Preparation,AIAPGET / PG / MD / MO / UPSC Entrance Exam Books,80,100,10,TEMP-9790000000025,,,,,,,,,
50ER4ORixna3PTZEJY4f,Aalat Uzn Unf Wa Halaq,Dr. Abdul Nasir,3rd (Final) Prof.,"Ear, Nose & Throat (ENT/Uzn, Unf, Halaq wa Asnan)",240,300,10,9788190000000,,,,,,,,,
gpwXLiTRnHSOKQsTfIcI,Aatish Wa Suzak Ka Mukammal Ilaj,Hkm. Abdul Majeed,Reference Books,Undefined,480,600,10,TEMP-9790000000032,,,,,,,,,
c27yHKcXcTUDeowrtUOT,Adam Tashreehul Badan Vol.1-2 (Anatomy),Hkm. Imamuddin Zakai,1st (First) Prof.,Human Anatomy (Tashreeh-ul-Badan),800,1000,10,TEMP-9790000000049,,,,,,,,,
LZckiae8jS3lhOibLQiK,Advia Haywaniya [Urdu],Dr. Mustehasan,2nd (Second) Prof.,Single Drugs (Mufradat),320,400,10,9788200000000,,,,,,,,,
gr32Eog2Sa1nHgp2qIip,Advia Madniya [Eng],Dr. Mustehasan,2nd (Second) Prof.,Single Drugs (Mufradat),480,600,10,9789390000000,,,,,,,,,
Ufo9pvzQAfbv8L4DiabG,Advia Madniya [Urdu],Dr. Mustehasan,2nd (Second) Prof.,Single Drugs (Mufradat),400,500,10,TEMP-9790000000056,,,,,,,,,
59g9JWZyZjaZu9amaqEi,Afalul Aza Vol.1-2,Hkm. Khalid Zama,1st (First) Prof.,Physiology (Munafe-ul-Aza),480,600,10,TEMP-9790000000063,,,,,,,,,
F7HCzvs5eTU55gpF3PGo,Afzal Medical Dictionary (Lughat),Dr. Wahab Akhtar Aziz,1st (First) Prof.,Dictionary (Lughat),400,500,10,TEMP-9790000000070,,,,,,,,,
btOVrnNsJ3R1MyL2SERO,Afzal Mufredat Vol.1,Syed Asad Hussain / Syed Afzal Hussain,2nd (Second) Prof.,Single Drugs (Mufradat),800,1000,10,9788200000000,,,,,,,,,
3Pu8BodemfMJFXHOuJKO,Afzal Mufredat Vol.1-4,Syed Asad Hussain / Syed Afzal Hussain,2nd (Second) Prof.,Single Drugs (Mufradat),2240,2800,10,TEMP-9790000000087,,,,,,,,,
pdfGt5h4qM5NJCOmbFeh,Afzal Mufredat Vol.2,Syed Asad Hussain / Syed Afzal Hussain,2nd (Second) Prof.,Single Drugs (Mufradat),640,800,10,9788200000000,,,,,,,,,
IylAY2FPtZHMxLWhz6X3,Afzal Mufredat Vol.3,Syed Asad Hussain / Syed Afzal Hussain,2nd (Second) Prof.,Single Drugs (Mufradat),400,500,10,9788200000000,,,,,,,,,
LfUoF2lVtJgnwKtlcHAP,Afzal Mufredat Vol.4,Syed Asad Hussain / Syed Afzal Hussain,2nd (Second) Prof.,Single Drugs (Mufradat),400,500,10,9788200000000,,,,,,,,,
W8n8NfvNPcvmw2i2qiXq,AIAPGET Ke Hal Shuda Sawalat Ma Tohzihat,Dr. Zubair Ansari,Exam Preparation,AIAPGET / PG / MD / MO / UPSC Entrance Exam Books,480,600,10,TEMP-9790000000094,,,,,,,,,
