id,system_id,title,author,price,mrp_price,stock,main_cover,gallery_count
1744,kVzhXn7y0PV2QyhzYi2W,Al Moalijat Buqratia Vol.1,Abul Hasan Ahmad Tabri,0.00,0.00,10,,0
1745,KmTKcrWMKY4lUKLxF5wo,Al Moalijat Buqratia Vol.2,Abul Hasan Ahmad Tabri,0.00,0.00,10,,0
1746,uRXxgNlkx0oNMJ59oyuJ,Al Moalijat Buqratia Vol.3,Abul Hasan Ahmad Tabri,0.00,0.00,10,,0
1754,RLVtRjrM3y3wNuCbh9CA,Amraz Atfal,Hkm. Md. Mehmood Ansari,0.00,0.00,10,,0
1786,Waq9dwZcmnrHVG3mKD5Y,Biyaze Firoozi,Hkm. Firoozuddin Lahori,0.00,0.00,10,,0
1870,J5PwCUS72XHBllaodEWD,Ilmul Advia Ki Do Taqseem,Hkm. Md. Kabiruddin,0.00,0.00,10,,0
1877,o6DmQ8WBARiC1RPSfWXK,Ilmul Mufredat,Prof. Nisaar Ahmad,0.00,0.00,10,,0
1896,RSagIZez7NPDfHk8Se3g,Jarahiyate Zahrawi,Abul Qasim Zahrawi,0.00,0.00,10,,0
1936,dMHccmht8KxXrs856IUL,Kitabul Mah,Abu Sahel Isa Al Masihi,0.00,0.00,10,,0
1938,zBeLSRsKIWCpuTv5aRy9,"Kitabul Moalijat (Amraz, Jild Wa Mufasil)",Anisur Rehman,0.00,0.00,10,,0
1948,THoNP0i2HAElAfHWRdu0,Kitabul Tadbeer,Arshad Jamal,0.00,0.00,10,,0
1975,lTCixg0EoWkZwR75RPG8,Makhzan Ayurved Ghar Ka Waid Ya Hakim,Vaid Krishan Diyaal,0.00,0.00,10,,0
1976,l8BrtYZDYPIovd0WahbT,Makhzan Mufredat Wa Murakkabat,Munshi Gulam Nabi,0.00,0.00,10,,0
1990,enq8sfB7zafx1cMbCgzp,Matab ul Lateef,Hkm. Kamaluddin Hamdani,0.00,0.00,10,,0
2004,ImHl7hR5tqAxgo52iaWa,Moalijat Amraze Nizame Hazam,Hkm. Abdul Mannan,0.00,0.00,10,,0
2005,EYwO724bozUWwE9GUhue,Moalijat Amraze Nizame Tanaffus,Hkm. Abdul Mannan,0.00,0.00,10,,0
2008,Lon3TWEskNaNMAcWjrh6,Moalijat Khasusi,Dr. Zameer Ahmad,0.00,0.00,10,,0
2022,8GRpxpTaWrUbXNurkYc7,Mojuz Qanoon,Kausar Chaand Puri,0.00,0.00,10,,0
2027,OYBE9Xhre6Os177BgBLk,Mufredat Azeezi,Hkm. Abdul Aziz,0.00,0.00,10,,0
2028,0W1X8AXwVrxXOsLUlCAr,Muheet Azam Vol.1-4,Hkm. Azam Khan,0.00,0.00,10,,0
2029,KM6nh8d3jRU1H3yX8hde,Mujarrebat Akbari,Hkm. Md. Akbar,0.00,0.00,10,,0
2030,YfsC6uIDjpiMXN8gzKrb,Mujarrebat Bashir,Hkm. Bashir Ahmad,0.00,0.00,10,,0
2040,rueyTTYPyAds7AWOt77B,Munafeul Aza,Javed Ahmed Lari,0.00,0.00,10,,0
2045,9MwRyYlKCrSTDSvn8ZCv,Murakkabat Ahsaani,Hkm. Ahsan Ali,0.00,0.00,10,,0
2061,HLUDnyBaCr2cTM85LnkI,Pharmaceutical Vol.1-2,Dr. Saima,0.00,0.00,10,,0
2069,96FyW7fHhShYcNvVhPwK,Qanoon Asri Vol.1,Masihul Mulk Hkm. Ajmal Khan,0.00,0.00,10,,0
2070,6EOEhedDGCN3gnCXGXov,Qarabadeen Ahsaani,Hkm. Ahsan Ali,0.00,0.00,10,,0
2071,JwIqZndgPdosFjqCPhHs,Qarabadeen Bangala,Hkm. Yunus Habibi,0.00,0.00,10,,0
2081,aaBKl04e3kEA1x54OoeY,Rafeeq Matab,Hkm. Arshad Shaheen,0.00,0.00,10,,0
2109,8qgyVuHFhbfBObMJ2VDT,Risala Qabz Wa Bawasir,Hkm. Md. Kabiruddin,0.00,0.00,10,,0
2124,HBIDQpjr9yunkDm8vo0L,Standardization of Single Drugs Vol.1-4,CCRUM,0.00,0.00,10,,0
2135,iNA1UM5y7eu4PxsE29Qt,Tajurbat Shaikh Bo Ali Sena,Sahab Zada Zaki Asooni,0.00,0.00,10,,0
2151,uk97jTKmJE7SgYS6cW45,Tashkeeshul Amraz,Akhtar Siddiqi,0.00,0.00,10,,0
2154,pp9PyJPJkwJKYfhJ1wzC,Tashreeul Mufasil,M.A. Lari,0.00,0.00,10,,0
2199,yeITRq6Oj89El8DomFkQ,Unani Pharmacopoeia,CCRUM,0.00,0.00,10,,0
