row_number,reason,title,author,system_id,main_source,gallery_sources,note
4,missing_sources,Jame-ul-Hikhmat,Hkm. Mohd Hasan Qarshi,xVRJ53w2fHlIhfiku4hC,,,No main or gallery image source found in row/fallback.
6,missing_sources,Jameul Advia,Abdul  Bari,PYAIuji0uNPoapori6Q4,,,No main or gallery image source found in row/fallback.
8,missing_sources,Jarahiyate Zahrawi,Abul Qasim Zahrawi,RSagIZez7NPDfHk8Se3g,,,No main or gallery image source found in row/fallback.
9,missing_sources,Jaraseem Aur Tibbe Qadeem,Hkm. Md. Kabiruddin,dZLa4jYIpFsk7LWxEhZ3,,,No main or gallery image source found in row/fallback.
14,missing_sources,Jinsi Mohabbat Ke Israr,Idara,2PCHdRSI7ZBYXfTx03qU,,,No main or gallery image source found in row/fallback.
15,missing_sources,Jinsiyaat Ki Pehli Kitab,Hkm. Md. Yusuf,NYZMYlQhzWGStbbYZeGj,,,No main or gallery image source found in row/fallback.
18,missing_sources,Kaloonji Ke Karishmat Hindi,Hkm. Tariq Mehmood Chugtai,V2clBG550zwqHq008rf7,,,No main or gallery image source found in row/fallback.
21,missing_sources,Kanjul Mufredat,Hkm. Abdullah,zPafSwoIsk2Bha3Xjx3j,,,No main or gallery image source found in row/fallback.
22,missing_sources,Kanjul Mujarrebat,Hkm. Mohd Abdullah,hIZOm6gTXitS8Apnb0gr,,,No main or gallery image source found in row/fallback.
27,missing_sources,Khawas Ul Advia (Darakhton Aur Phodho Ke Khawas),Hkm. Md.,3n3M4rLf3cNjfUj5qz8O,,,No main or gallery image source found in row/fallback.
28,missing_sources,Khawas Ul Advia (Phaloo Aur Sabziyon Ke Khawas),Hkm. Md.,IHvVYK9o7ahPwSHZWGQM,,,No main or gallery image source found in row/fallback.
29,missing_sources,Khawateen Do Shijao Ki Mushkile,Dr. Shaheda,6ILzkROvkfgoo7O4s1zw,,,No main or gallery image source found in row/fallback.
31,missing_sources,Khuf Alai,Hkm. Tajuddin,Tm72PmKi43RbBx2Z9PDZ,,,No main or gallery image source found in row/fallback.
32,missing_sources,Khush Naweesan-E-Tib Ek Jaizah,Hkm. Wasim Ahmad Azmi,EdaFddCGuS5uKJU2fkC1,,,No main or gallery image source found in row/fallback.
35,missing_sources,Kitab Kuliyat-e-Advia,Hkm. Tahir Mehmood,QYVm7mfohZGDURyxJOZr,,,No main or gallery image source found in row/fallback.
38,missing_sources,Kitab-Ul Nabz,Hkm. Md. Kabiruddin,WIRtSiDrxja0c7bZ5JRn,,,No main or gallery image source found in row/fallback.
44,missing_sources,"Kitabul Havi Vol.1-15, Vol.17-19 & Vol.21-23",Hkm. Abu Bakar Zikariya Razi,U4m37ix99VfRQBsKoIow,,,No main or gallery image source found in row/fallback.
48,missing_sources,Kitabul Mah,Abu Sahel Isa Al Masihi,dMHccmht8KxXrs856IUL,,,No main or gallery image source found in row/fallback.
50,missing_sources,"Kitabul Moalijat (Amraz, Jild Wa Mufasil)",Anisur Rehman,zBeLSRsKIWCpuTv5aRy9,,,No main or gallery image source found in row/fallback.
51,missing_sources,Kitabul Mufredat,Iqbal Ahmad Qasmi,54Ha5QylD8zJThliJOgH,,,No main or gallery image source found in row/fallback.
55,missing_sources,Kitabul Murakabat,Nafis Ahmad Qasmi,m4mmOjz4LKrnt9FtSSwl,,,No main or gallery image source found in row/fallback.
60,missing_sources,Kitabul Tadbeer,Arshad Jamal,THoNP0i2HAElAfHWRdu0,,,No main or gallery image source found in row/fallback.
62,missing_sources,Kitabul Taklees,Hkm. Md. Kabiruddin,ZCdwr1gMQtTd7aJ6CDeb,,,No main or gallery image source found in row/fallback.
79,missing_sources,Lughat Ul Advia,Hkm. Md. Kabiruddin,YzPGVaZZAkdRRKZ5pM2Z,,,No main or gallery image source found in row/fallback.
